STRIDE_Category,CIAAA_Category,Requirement,Keywords
Tampering,Integrity,The system shall only deploy application binaries that are digitally signed.,binaries;digitally signed;digital signature;application binaries;signatures;virtual signitures;application binaries;
Tampering,Integrity,"The system shall implement a secure reset password functionality, using a time limited activation token in addition to an alternate form of user authentication.",secure;reset;password;passwords;reset password;token;tokens;time limited;timed;timer;activation token;timed token;reset functionality;password reset;
Tampering,Integrity,The system shall only permit uploading of files that meet prescripted file extension requirements.,file;file extension;requirements;file extension requirements;uploading;uploads;files;files extention;file requirements;upload;file upload;restricted files;restricted file;
Tampering,Integrity,The system shall implement the latest version of a third-party software or libraries where known vulnerabilities are patched.,version;latest;third-party;third party;third-party software;libraries;library;vulnerabilities;patched;patching;
Tampering,Integrity,The system shall ensure that logs cannot be modifiable or deleted.,logs;logging;tracking;modify;modifiable;change;delete;remove;auditing;audit;auditing logs;changing logs;making adjustment;adjusting logs;adjusting;adjustment;changing;changing logs;updating logs;updating;deleting logs;removing logs;log removal;log modification;
Tampering,Integrity,The system shall only use third-party software from trusted sources.,third party;third-party;trusted software;trusted sources;third-party software;third party software;software from another source;another source;software tool;third-party tool;
Repudiation,Non-Repudiation,The system shall implement change auditing for sensitive entites and fields.,change;auditing;sensitive;confidental;entities;field;fields;entities;modify;modification;changing;audit;changing entities;changing fields;modifying fields;modifying entities;adjusting entities;changing entities;
Repudiation,Non-Repudiation,"The system shall ensure that auditing and logging is enforced on the IoT cloud gateway to record all device-to-cloud and cloud-to-device communications, authorizations and connections.",audit;auditing;logging;log;IoT;cloud;gateway;device;communication;authorization;connection;auditing and logging;logging and auditing;logging or auditing;auditing or logging;record;recording;record data;track data;
Repudiation,Non-Repudiation,The system shall log any security exception that has been detected.,log;logging;security exception;exception;suspious;suspious activity;detect;detected;behaviours;unwanted actions;unwanted behaviours;behaviour;record;track;record suspious behaviour;track suspious behaviour;recording;tracking;watching;watch;monitor;monitor security exception;tracking security exception;
Repudiation,Non-Repudiation,The system shall generate the logs into a format that can be read by a centralized log management solution.,centralized log management solution;centrailized log management;clm;logs;manage;manage logs;track logs;log tracker;log format;formatting;format;log style;log organization;organized;style;log presentation;presentation;log scheme;scheme;
Repudiation,Non-Repudiation,The system shall implement a centralized logging system to capture user context during important events.,centralized log management solution;centrailized log management;clm;logs;track logs;log tracker;capture;actions;context;events;event;captures;
Repudiation,Non-Repudiation,The system shall notify the administrator of unwanted activities that have been detected.,activities;detected;admin;notify;notification;detected;behaviour;unwanted;suspious;administrator;actions;attacks;unwanted activities;activity;unwanted behaviour;suspious behaviour;inform;inform admin;inform administrator;advise;advise admin;advise administrator;let admin know;let administrator know;
Elevation of Priviliege,Authorization,The system shall ensure that SaS authentication tokens have a finite lifetime.,"authentication;tokens;token;authentication token;authentication tokens;finite;finite token;token lifetime;SaS,shared access signature;access signature; shared signature;lifetime;limited;limited lifetime;limited token lifetime;"
Elevation of Priviliege,Authorization,The system shall ensure that secure cookies are used for applications accessible over HTTPS.,cookies;secure cookies;https;hypertext transfer protocol secure;site cookies;
Elevation of Priviliege,Authorization,"The system shall implement secure user logout by terminating the user's session, and resetting and nullifying both session and authentication cookies.",session;authentication;cookies;user session;user's sessions;logout;user logout;logging out;user logging out;secure;secure user log out;terminate session;delete session;delete cookies;termination;session cookies;cookies session;authentication cookies;cookie authentication;
Elevation of Priviliege,Authorization,The system shall trigger user session timeout after a long period of inactivity.,timeout;session timeout;time-out;session time-out;session;long period;inactivity;away;idle;idled;
Elevation of Priviliege,Authorization,The system shall use a least-privileged account to run services to reduce impact if the service is compromised.,least-privileged;compromised;account compromised;account status;least privileged;minimal privileged;less amount of privilieged;
Elevation of Priviliege,Authorization,The system shall ensure the administrative interfaces are appropriately locked down and only accessible by authorized personnel.,authorized;admin;interface;administrator;administrative;lock down;lock;restrictive;admin interface;administrator interface;admin page;administrator page;authorized personnel;authorized individual;authorized person;approved individual;approved personnel;approved;locked;locked down;restrictive;only accessible;
Elevation of Privilege,Authorization,The system shall implement and enable a firewall policy.,packet filtering;packet filter;firewall;firewall policy;web application firewall;WAF;application firewall;packet-filtering firewalls;packet filtering firewalls;packet-filtering firewall;circuit-level gateways;circuit level gateway;stateful inspection;stateful inspection firewall;stateful inspection firewalls;cloud;cloud firewalls;cloud firewall;hardware;hardware firewall;hardware firewalls;software;software firewall;software firewalls;application-level gateway;application-level gateways;proxy firewall;proxy;proxy firewalls;next-gen firewall;next-gen firewalls;next gen firewall;nextgen firewall;
Elevation of Priviliege,Authorization,The system shall send the client a security token to be included in all subsequent requests to prevent Cross-Site Request Forgery.,CSRF;cross-site request forgery;request forgery;security token;secure token;requests;request;subsequent request;stored CSRF flaws;cross-site scripting;cross site scripting;cross-site scripting attack;XSRF;sea surf;session riding;hostile linking;one-click attack;
Elevation of Privilege,Authorization,The system shall provide user-level accounts with write-only access to log files.,write; write;log;log files;log file;file;permissions;user;write access;read access;detection;audit;
Elevation of Privilege,Authorization,The system shall provide administrator accounts with read and write access to log files.,read;write;read and write;write and read;log;log files;log file;file;admin;administrator;writing access;reading access;read or write;write or read;reading privilege;writing privilege;
Elevation of Privilege,Authorization,The system shall only enable features and/or services as required.,features;service;least privilege;privileges;
Elevation of Privilege,Authorization,The system shall not use dynamic SQL queries in procedures to prevent SQL injection.,SQL injection;dynamic;dynamic SQL;dynamic SQL queries;SQL;injection;LDAP;XPath;NoSQL queries;OS commands;XML parser;SMTP header;expression languages;ORM queries;object-relational mapping;
Elevation of Privilege,Authorization,"The system shall use a safe API with a parameterized interface, or Object-Relational Mapping Tools to perform database queries or commands.",SQL injection;object-relational mapping;object-relational mapping tool;object relational mapping;object relational mapping tool;database;data-base;ORM;ORM tool;tool;queries;database queries;commands;database commands;
Information Disclosure,Confidentiality,The system shall implement a default error handling mechanism.,default error;error;error handling mechanism;errors;
Information Disclosure,Confidentiality,The system shall not disclose any security-related information and provide generic error messages.,error;message;security-related information;confidential;output;sanitization;information;messages;errors;secure;security-related;info;info.;error message;confidential-related;confidential-related message;
Information Disclosure,Confidentiality,"The system shall encrypt all files containing sensitive information.
",sensitive data;important data;important information;sensitive information;compromised data;compromised information;confidential;confidential information;confidential data;info;info.;confidential info;confidential info.;sensitive info;sensitive info.;important info;important info.;
Information Disclosure,Confidentiality,The system shall not rely on network configuration to perform secure-channel communication.,network;network configuration;configuration;secure-channel;channel communication;secure communication;communication;network communication;
Information Disclosure,Confidentiality,The system shall ensure that sensitive data is excluded from browser caching.,sensitive data;browser caching;browser;caching;web caching;web;website caching;website;confidential data;sensitive information;sensitive info.;cach;browser cach;sensitive information;info.;info;information;data;
Information Disclosure,Confidentiality,The system shall exclude sensitive user data from logging and auditing procedures.,log;logging;saving data;sensitive data;sensitive information;sensitive user data;auditing data;personal data;saving sensitive data;record;recording;record data;record information;info;info.;sensitive info.;confidential data;confidential information;confidential info.;
Information Disclosure,Confidentiality,The system shall disable field autocompletion on webforms that requires sensitive information as an input.,input field;text field;textfield;sensitive information;confidential;confidential information;confidential data;user input;disable input; disable textfield;autocompletion;disable autocompletion;autocompletion input;
Information Disclosure,Confidentiality,The system shall provide administrator accounts with the ability to perform remote device wiping.,breach;remote wipe;wiping;remote wiping;remote deleting;remote delete;admin accounts;administrator accounts;
Information Disclosure,Confidentiality,The system shall safeguard web API authentication artifacts.,API;API authentication;API verification;artifact;
Information Disclosure,Confidentiality,The system shall incorporate a device management policy.,device policy;device management policy;policy;
Information Disclosure,Confidentiality,The system shall use dynamic data masking to protect sensitive data displayed to the the user.,password;passwords;password input;user's password;password masking;shoulder surfing;
Information Disclosure,Confidentiality,The system shall incorporate password salting when storing passwords in the system.,password;passwords;password list;password bank;database;password database;salting;salt;password salt;salt string;salt hashing;storing password;storing passwords;password database
